keyword,times,percentage,,,,,
Oil and gas exploration,8,,Oil and gas exploration8,,,Oil and gas exploration8,
orbit,8,,orbit8,,,orbit8,
Orders of magnitude,8,,Orders of magnitude8,,,Orders of magnitude8,
Orthogonal Drawing,8,,Orthogonal Drawing8,,,Orthogonal Drawing8,
Orthographic projection,8,,Orthographic projection8,,,Orthographic projection8,
Outflow,8,,Outflow8,,,Outflow8,
overlapping sets,8,,overlapping sets8,,,overlapping sets8,
Parallel and distributed volume visualization,8,,Parallel and distributed volume visualization8,,,Parallel and distributed volume visualization8,
parametric curves,8,,parametric curves8,,,parametric curves8,
PDM,8,,PDM8,,,PDM8,
Pedigree,8,,Pedigree8,,,Pedigree8,
personal finance,8,,personal finance8,,,personal finance8,
point clouds,8,,point clouds8,,,point clouds8,
polygon mesh,8,,polygon mesh8,,,polygon mesh8,
polygon simplification,8,,polygon simplification8,,,polygon simplification8,
product attributes,8,,product attributes8,,,product attributes8,
product configuration,8,,product configuration8,,,product configuration8,
product structures,8,,product structures8,,,product structures8,
projection,8,,projection8,,,projection8,
Projection Methods,8,,Projection Methods8,,,Projection Methods8,
proximity,8,,proximity8,,,proximity8,
psychophysics,8,,psychophysics8,,,psychophysics8,
Python,8,,Python8,,,Python8,
Regression Analysis,8,,Regression Analysis8,,,Regression Analysis8,
ribbons,8,,ribbons8,,,ribbons8,
ridge lines,8,,ridge lines8,,,ridge lines8,
routing,8,,routing8,,,routing8,
Scagnostics,8,,Scagnostics8,,,Scagnostics8,
scientific data visualization,8,,scientific data visualization8,,,scientific data visualization8,
screen design,8,,screen design8,,,screen design8,
semantic models,8,,semantic models8,,,semantic models8,
Semantic Video Classification,8,,Semantic Video Classification8,,,Semantic Video Classification8,
set-typed data,8,,set-typed data8,,,set-typed data8,
Similarity Trees,8,,Similarity Trees8,,,Similarity Trees8,
soft shadows,8,,soft shadows8,,,soft shadows8,
software psychology,8,,software psychology8,,,software psychology8,
spatial data mining,8,,spatial data mining8,,,spatial data mining8,
stacked bar charts,8,,stacked bar charts8,,,stacked bar charts8,
state diagram,8,,state diagram8,,,state diagram8,
strain tensor,8,,strain tensor8,,,strain tensor8,
strategic analysis,8,,strategic analysis8,,,strategic analysis8,
Streaming Technique,8,,Streaming Technique8,,,Streaming Technique8,
streamline visualization,8,,streamline visualization8,,,streamline visualization8,
structural analysis,8,,structural analysis8,,,structural analysis8,
structure,8,,structure8,,,structure8,
SUBDTW,8,,SUBDTW8,,,SUBDTW8,
substitope,8,,substitope8,,,substitope8,
summed area table,8,,summed area table8,,,summed area table8,
superscalar processors,8,,superscalar processors8,,,superscalar processors8,
surfaces,8,,surfaces8,,,surfaces8,
swirl flow,8,,swirl flow8,,,swirl flow8,
synthetic data,8,,synthetic data8,,,synthetic data8,
Synthetic data generation,8,,Synthetic data generation8,,,Synthetic data generation8,
taxi movement data,8,,taxi movement data8,,,taxi movement data8,
tensor invariants,8,,tensor invariants8,,,tensor invariants8,
tensors field,8,,tensors field8,,,tensors field8,
text annotation,8,,text annotation8,,,text annotation8,
Text highlighting techniques,8,,Text highlighting techniques8,,,Text highlighting techniques8,
thinking aloud,8,,thinking aloud8,,,thinking aloud8,
threading,8,,threading8,,,threading8,
Time-series Exploration,8,,Time-series Exploration8,,,Time-series Exploration8,
topology preservation,8,,topology preservation8,,,topology preservation8,
Topology-based analysis,8,,Topology-based analysis8,,,Topology-based analysis8,
transaction analysis,8,,transaction analysis8,,,transaction analysis8,
Transformation,8,,Transformation8,,,Transformation8,
trend sequence,8,,trend sequence8,,,trend sequence8,
trend sequence clustering,8,,trend sequence clustering8,,,trend sequence clustering8,
triangle meshes,8,,triangle meshes8,,,triangle meshes8,
tumble flow,8,,tumble flow8,,,tumble flow8,
Turbine flow visualization,8,,Turbine flow visualization8,,,Turbine flow visualization8,
user / machine systems,8,,user / machine systems8,,,user / machine systems8,
Vector Topology,8,,Vector Topology8,,,Vector Topology8,
view/value,8,,view/value8,,,view/value8,
visual document analytics,8,,visual document analytics8,,,visual document analytics8,
visual embedding,8,,visual embedding8,,,visual embedding8,
Visual links,8,,Visual links8,,,Visual links8,
visual recommendation,8,,visual recommendation8,,,visual recommendation8,
visualization evaluation,8,,visualization evaluation8,,,visualization evaluation8,
Visualization in Earth/Space/ and Environmental Sciences,8,,Visualization in Earth/Space/ and Environmental Sciences8,,,Visualization in Earth/Space/ and Environmental Sciences8,
volume bricking,8,,volume bricking8,,,volume bricking8,
volume data,8,,volume data8,,,volume data8,
volume subdivision,8,,volume subdivision8,,,volume subdivision8,
weather visualization,8,,weather visualization8,,,weather visualization8,
web,8,,web8,,,web8,
wikis,8,,wikis8,,,wikis8,
Workflow visualization,8,,Workflow visualization8,,,Workflow visualization8,
3D Texture Mapping,7,,3D Texture Mapping7,,,3D Texture Mapping7,
accuracy,7,,accuracy7,,,accuracy7,
adaptive filtering,7,,adaptive filtering7,,,adaptive filtering7,
Adaptive Integration,7,,Adaptive Integration7,,,Adaptive Integration7,
adaptive mesh refinement,7,,adaptive mesh refinement7,,,adaptive mesh refinement7,
adaptive wavelets,7,,adaptive wavelets7,,,adaptive wavelets7,
Advanced illumination,7,,Advanced illumination7,,,Advanced illumination7,
aesthetics,7,,aesthetics7,,,aesthetics7,
algebraic multigrid,7,,algebraic multigrid7,,,algebraic multigrid7,
anisotropic sampling,7,,anisotropic sampling7,,,anisotropic sampling7,
architectural walkthrough,7,,architectural walkthrough7,,,architectural walkthrough7,
attentionally ambient visualization,7,,attentionally ambient visualization7,,,attentionally ambient visualization7,
attribute ranking,7,,attribute ranking7,,,attribute ranking7,
Automated Cartography,7,,Automated Cartography7,,,Automated Cartography7,
Automatic lighting design,7,,Automatic lighting design7,,,Automatic lighting design7,
awareness,7,,awareness7,,,awareness7,
Biologic Visualization,7,,Biologic Visualization7,,,Biologic Visualization7,
Biological data,7,,Biological data7,,,Biological data7,
blobby models,7,,blobby models7,,,blobby models7,
blurring,7,,blurring7,,,blurring7,
bounding space,7,,bounding space7,,,bounding space7,
broadcast video analysis,7,,broadcast video analysis7,,,broadcast video analysis7,
camera-based registration and calibration,7,,camera-based registration and calibration7,,,camera-based registration and calibration7,
cell,7,,cell7,,,cell7,
cluster comparison,7,,cluster comparison7,,,cluster comparison7,
clusters,7,,clusters7,,,clusters7,
Co-citation,7,,Co-citation7,,,Co-citation7,
Coast Guard,7,,Coast Guard7,,,Coast Guard7,
Color Calibration,7,,Color Calibration7,,,Color Calibration7,
coloring,7,,coloring7,,,coloring7,
communication-minded visualization,7,,communication-minded visualization7,,,communication-minded visualization7,
Compressed Volume Rendering,7,,Compressed Volume Rendering7,,,Compressed Volume Rendering7,
Computer Aided,7,,Computer Aided7,,,Computer Aided7,
constructive solid geometry,7,,constructive solid geometry7,,,constructive solid geometry7,
context-aware selection,7,,context-aware selection7,,,context-aware selection7,
continuous reconstruction,7,,continuous reconstruction7,,,continuous reconstruction7,
Contour trees,7,,Contour trees7,,,Contour trees7,
convolution-based differentiation,7,,convolution-based differentiation7,,,convolution-based differentiation7,
coverage tracking,7,,coverage tracking7,,,coverage tracking7,
Crease Features,7,,Crease Features7,,,Crease Features7,
curve-skeleton,7,,curve-skeleton7,,,curve-skeleton7,
curved edges,7,,curved edges7,,,curved edges7,
data cleaning,7,,data cleaning7,,,data cleaning7,
Data physicalization,7,,Data physicalization7,,,Data physicalization7,
Data Reformation,7,,Data Reformation7,,,Data Reformation7,
data-parallel visualization pipeline,7,,data-parallel visualization pipeline7,,,data-parallel visualization pipeline7,
Decision Make,7,,Decision Make7,,,Decision Make7,
Decision support systems,7,,Decision support systems7,,,Decision support systems7,
design recommendations,7,,design recommendations7,,,design recommendations7,
design tradeoffs,7,,design tradeoffs7,,,design tradeoffs7,
differential forms,7,,differential forms7,,,differential forms7,
diffuse interreflections,7,,diffuse interreflections7,,,diffuse interreflections7,
Digimap service,7,,Digimap service7,,,Digimap service7,
dimension filtering,7,,dimension filtering7,,,dimension filtering7,
Dimension ordering,7,,Dimension ordering7,,,Dimension ordering7,
dimension spacing,7,,dimension spacing7,,,dimension spacing7,
Directed Acyclic Graph,7,,Directed Acyclic Graph7,,,Directed Acyclic Graph7,
discoverage,7,,discoverage7,,,discoverage7,
discovery search visualization,7,,discovery search visualization7,,,discovery search visualization7,
distance-similarity preservation,7,,distance-similarity preservation7,,,distance-similarity preservation7,
distributed file systems visualization,7,,distributed file systems visualization7,,,distributed file systems visualization7,
document clustering,7,,document clustering7,,,document clustering7,
document triage,7,,document triage7,,,document triage7,
DTI fiber tracts,7,,DTI fiber tracts7,,,DTI fiber tracts7,
E-transaction,7,,E-transaction7,,,E-transaction7,
edge concentration,7,,edge concentration7,,,edge concentration7,
embedding,7,,embedding7,,,embedding7,
Event-based Data,7,,Event-based Data7,,,Event-based Data7,
exposure error,7,,exposure error7,,,exposure error7,
fiber tracing,7,,fiber tracing7,,,fiber tracing7,
fiber tractography,7,,fiber tractography7,,,fiber tractography7,
filtered back-projection,7,,filtered back-projection7,,,filtered back-projection7,
Fine Details,7,,Fine Details7,,,Fine Details7,
flicker,7,,flicker7,,,flicker7,
flow,7,,flow7,,,flow7,
Flow maps,7,,Flow maps7,,,Flow maps7,
flowline curvature,7,,flowline curvature7,,,flowline curvature7,
force,7,,force7,,,force7,
FP-tree,7,,FP-tree7,,,FP-tree7,
fractal dimension,7,,fractal dimension7,,,fractal dimension7,
functional realism,7,,functional realism7,,,functional realism7,
fuzzy clustering,7,,fuzzy clustering7,,,fuzzy clustering7,
gene expression experiments,7,,gene expression experiments7,,,gene expression experiments7,
general tensors,7,,general tensors7,,,general tensors7,
Geographical Information Systems,7,,Geographical Information Systems7,,,Geographical Information Systems7,
Geometric calibration,7,,Geometric calibration7,,,Geometric calibration7,
GIS,7,,GIS7,,,GIS7,
grid structures,7,,grid structures7,,,grid structures7,
Guided Interaction,7,,Guided Interaction7,,,Guided Interaction7,
hybrid algorithms,7,,hybrid algorithms7,,,hybrid algorithms7,
hybrid images,7,,hybrid images7,,,hybrid images7,
Image Saliency,7,,Image Saliency7,,,Image Saliency7,
image warping,7,,image warping7,,,image warping7,
Information ecologies,7,,Information ecologies7,,,Information ecologies7,
information seeking,7,,information seeking7,,,information seeking7,
Intellectual Structure,7,,Intellectual Structure7,,,Intellectual Structure7,
interaction primitives,7,,interaction primitives7,,,interaction primitives7,
interactive histograms,7,,interactive histograms7,,,interactive histograms7,
interactive illumination,7,,interactive illumination7,,,interactive illumination7,
interactive maps,7,,interactive maps7,,,interactive maps7,
Interesting View Problem,7,,Interesting View Problem7,,,Interesting View Problem7,
interface metaphors,7,,interface metaphors7,,,interface metaphors7,
Invariants,7,,Invariants7,,,Invariants7,
isosurface simplification,7,,isosurface simplification7,,,isosurface simplification7,
isosurface statistics,7,,isosurface statistics7,,,isosurface statistics7,
knowledge management,7,,knowledge management7,,,knowledge management7,
Large data exploration,7,,Large data exploration7,,,Large data exploration7,
large-neighborhood search,7,,large-neighborhood search7,,,large-neighborhood search7,
large-scale microarray,7,,large-scale microarray7,,,large-scale microarray7,
layout management,7,,layout management7,,,layout management7,
legend,7,,legend7,,,legend7,
Lens Distortion,7,,Lens Distortion7,,,Lens Distortion7,
lighting similarity,7,,lighting similarity7,,,lighting similarity7,
lighting stability,7,,lighting stability7,,,lighting stability7,
Log file analysis,7,,Log file analysis7,,,Log file analysis7,
logistical networking,7,,logistical networking7,,,logistical networking7,
lossless compression,7,,lossless compression7,,,lossless compression7,
Low-Dimensional Embedding,7,,Low-Dimensional Embedding7,,,Low-Dimensional Embedding7,
Lung CT,7,,Lung CT7,,,Lung CT7,
mass spectrometry,7,,mass spectrometry7,,,mass spectrometry7,
massive meshes,7,,massive meshes7,,,massive meshes7,
MIDI,7,,MIDI7,,,MIDI7,
modular,7,,modular7,,,modular7,
molecular dynamics,7,,molecular dynamics7,,,molecular dynamics7,
Motif Search,7,,Motif Search7,,,Motif Search7,
Motif Visualization,7,,Motif Visualization7,,,Motif Visualization7,
Moving Least Squares Reconstruction,7,,Moving Least Squares Reconstruction7,,,Moving Least Squares Reconstruction7,
multi-volume rendering,7,,multi-volume rendering7,,,multi-volume rendering7,
Multilinear interpolation,7,,Multilinear interpolation7,,,Multilinear interpolation7,
Multimedia (image/video/music) visualization,7,,Multimedia (image/video/music) visualization7,,,Multimedia (image/video/music) visualization7,
Multimodal data,7,,Multimodal data7,,,Multimodal data7,
Multiple trees,7,,Multiple trees7,,,Multiple trees7,
multiscale perceptual organization,7,,multiscale perceptual organization7,,,multiscale perceptual organization7,
